4 8
8 40
16 120
32 296
64 664
128 1416
256 2936
512 5992
1024 12120
2048 24392
4096 48952
8192 98088
16384 196376
32768 392968
65536 786168
131072 1572584
262144 3145432
524288 6291144
1048576 12582584
2097152 25165480
4194304 50331288
8388608 100662920
16777216 201326200
33554432 402652776
67108864 805305944
134217728 1610612296
268435456 3221225016
536870912 6442450472
1073741824 12884901400
2147483648 25769803272
4294967296 51539607032
8589934592 103079214568
17179869184 206158429656
34359738368 412316859848
68719476736 824633720248
137438953472 1649267441064
274877906944 3298534882712
549755813888 6597069766024
1099511627776 13194139532664
2199023255552 26388279065960
4398046511104 52776558132568
8796093022208 105553116265800
17592186044416 211106232532280
35184372088832 422212465065256
70368744177664 844424930131224
140737488355328 1688849860263176
281474976710656 3377699720527096
562949953421312 6755399441054952
1125899906842624 13510798882110680
2251799813685248 27021597764222152
4503599627370496 54043195528445112
9007199254740992 108086391056891048
18014398509481984 108086391056891681
36028797018963968 216172782113783581
72057594037927936 432345564227567385
144115188075855872 864691128455134997
288230376151711744 1729382256910270225
576460752303423488 3458764513820540685
1152921504606846976 6917529027641081609
2305843009213693952 13835058055282163461
4611686018427387904 27670116110564327169
9223372036854775808 55340232221128654589
18446744073709551616 110680464442257309433
36893488147419103232 221360928884514619125
73786976294838206464 442721857769029238513
147573952589676412928 885443715538058477293
295147905179352825856 1770887431076116954857
590295810358705651712 3541774862152233909989
1180591620717411303424 7083549724304467820257
2361183241434822606848 14167099448608935640797
4722366482869645213696 28334198897217871281881
9444732965739290427392 56668397794435742564053
18889465931478580854784 113336795588871485128401
37778931862957161709568 226673591177742970257101
75557863725914323419136 453347182355485940514505
151115727451828646838272 906694364710971881029317
302231454903657293676544 1813388729421943762058945
604462909807314587353088 3626777458843887524118205
1208925819614629174706176 7253554917687775048236729
2417851639229258349412352 14507109835375550096473781
4835703278458516698824704 29014219670751100192947889
9671406556917033397649408 58028439341502200385896109
19342813113834066795298816 116056878683004400771792553
38685626227668133590597632 232113757366008801543585445
77371252455336267181195264 464227514732017603087171233
154742504910672534362390528 928455029464035206174342813
309485009821345068724781056 1856910058928070412348685977
618970019642690137449562112 3713820117856140824697372309
1237940039285380274899124224 7427640235712281649394744977
2475880078570760549798248448 14855280471424563298789490317
4951760157141521099596496896 29710560942849126597578981001
9903520314283042199192993792 59421121885698253195157962373
19807040628566084398385987584 118842243771396506390315925121
39614081257132168796771975168 237684487542793012780631850621
79228162514264337593543950336 475368975085586025561263701625
158456325028528675187087900672 950737950171172051122527403637
316912650057057350374175801344 1901475900342344102245054807665
633825300114114700748351602688 3802951800684688204490109615725
1267650600228229401496703205376 7605903601369376408980219231849
2535301200456458802993406410752 15211807202738752817960438464101
5070602400912917605986812821504 30423614405477505635920876928609
10141204801825835211973625643008 60847228810955011271841753857629
20282409603651670423947251286016 121694457621910022543683507715673
40564819207303340847894502572032 243388915243820045087367015431765
81129638414606681695789005144064 486777830487640090174734030863953
162259276829213363391578010288128 973555660975280180349468061728333
324518553658426726783156020576256 1947111321950560360698936123457097
