2,1.32923
4,4.47737
8,11.51325
16,26.97491
32,59.91885
64,127.54824
128,266.26734
256,547.15403
512,1113.18158
1024,2248.52472
2048,4517.2901
4096,9085.14387
8192,18145.81521
16384,36408.55743
32768,72993.48712
65536,145757.63278
131072,290878.33857
262144,583789.12743
524288,1167766.77108
1048576,2340621.03077
2097152,4666915.01259
4194304,9313073.1427
8388608,18623541.71876
16777216,37438110.44802
33554432,74177318.83792
67108864,149346114.349
134217728,299391897.60982
268435456,595881304.83043
536870912,1194813448.45654
1073741824,2381240510.78193
2147483648,4765979753.41566
4294967296,9544566720.77216
8589934592,19088482324.63316
17179869184,38281001487.28949
34359738368,76448548623.35684
68719476736,152714336604.0325
137438953472,306172404149.7557
274877906944,610793742094.3289
549755813888,1224116216918.2708
1099511627776,2435202902835.9785
2199023255552,4869756532641.366
4398046511104,9779065726227.133
8796093022208,19595569955371.54
17592186044416,39149447807076.23
35184372088832,78234445048564.86
70368744177664,155845069074332.1
140737488355328,312208484874491.8
281474976710656,624397917368226.0
562949953421312,1246764296244589.0
1125899906842624,2508524606670281.0
2251799813685248,5010893821515437.0
